status	sim_time	in_0	in_1	
0	7.16612	1	1	
0	2.78242	1	1	
1	3.03152	0	0	
1	3.32289	0	0	
1	3.89098	0	0	
1	5.86055	0	0	
1	7.5887	0	0	
1	8.84259	0	0	
1	9.86435	0	0	
0	10.7618	1	1	
0	3.81787	1	1	
1	4.12459	0	0	
1	4.15495	0	0	
1	5.04037	0	0	
0	0.236844	1	1	
1	0.656103	0	0	
1	0.837259	0	0	
1	1.38109	0	0	
1	2.34331	0	0	
0	20.4246	0.34172	1	
1	20.6185	0	0	
1	20.7688	0	0	
0	14.256	1	1	
1	15.0301	0	0	
1	16.0568	0	0	
1	16.6972	0	0	
1	20.0398	0	0	
0	19.2127	1	1	
0	3.87108	1	1	
1	3.92003	0	0	
1	5.57591	0	0	
1	5.65189	0	0	
0	6.43313	1	1	
0	41.8128	0.159428	1	
0	30.3852	1	1	
0	0.548791	1	1	
1	0.982554	0	0	
1	1.38946	0	0	
0	1.89757	1	1	
1	2.25303	0	0	
1	2.37081	0	0	
1	2.58212	0	0	
1	5.49203	0	0	
1	5.54012	0	0	
1	11.1167	0	0	
0	16.5859	1	1	
0	0.299199	1	1	
1	1.5356	0	0	
1	1.6371	0	0	
1	1.80465	0	0	
0	19.5224	0.117473	1	
0	4.36499	1	0.39876	
1	4.5076	0	0	
1	4.94651	0	0	
0	4.00726	1	1	
1	4.04782	0	0	
1	5.09872	0	0	
1	5.93815	0	0	
1	6.38635	0	0	
1	6.51472	0	0	
1	7.57446	0	0	
1	8.03254	0	0	
1	8.27491	0	0	
0	9.06141	1	1	
1	9.13312	0	0	
0	28.3519	0.145581	1	
0	9.33037	1	1	
1	11.3731	0	0	
1	11.6549	0	0	
1	14.7327	0	0	
0	4.91408	1	0.882398	
1	5.00778	0	0	
1	7.03716	0	0	
0	1.02913	1	1	
1	1.49121	0	0	
1	3.48058	0	0	
1	4.03851	0	0	
1	5.91188	0	0	
1	7.15374	0	0	
1	7.31903	0	0	
1	8.04798	0	0	
0	7.25658	1	1	
1	7.80348	0	0	
1	8.44577	0	0	
1	8.91459	0	0	
1	9.10474	0	0	
0	11.1419	1	0.900948	
0	2.40173	1	1	
1	2.78057	0	0	
1	3.20123	0	0	
1	3.37094	0	0	
0	50.2192	0.149928	1	
0	26.5422	1	1	
0	11.1839	1	1	
0	1.076	1	1	
1	1.30783	0	0	
1	1.45818	0	0	
1	1.84743	0	0	
1	6.3497	0	0	
0	6.72317	1	1	
1	6.83397	0	0	
0	5.37363	1	1	
1	5.75393	0	0	
1	6.49552	0	0	
0	2.44935	1	1	
1	2.6682	0	0	
0	3.14347	1	1	
1	3.37275	0	0	
1	3.39139	0	0	
1	3.80272	0	0	
1	4.45259	0	0	
1	4.69761	0	0	
0	4.94334	1	1	
1	5.2402	0	0	
1	5.56374	0	0	
1	5.71462	0	0	
0	6.83524	1	1	
0	2.50182	1	1	
1	2.89298	0	0	
1	3.15688	0	0	
1	4.34488	0	0	
0	2.76749	1	1	
1	2.84026	0	0	
1	3.64157	0	0	
1	3.85031	0	0	
1	4.06939	0	0	
0	6.52757	1	1	
0	6.97244	1	0.236536	
1	6.98597	0	0	
0	5.22099	1	0.555706	
1	5.65112	0	0	
1	5.70905	0	0	
1	5.89967	0	0	
0	15.2955	1	0.254062	
1	15.5413	0	0	
0	4.67619	1	1	
1	4.768	0	0	
1	4.89276	0	0	
1	5.1946	0	0	
0	0.855855	1	1	
1	1.76665	0	0	
1	2.14242	0	0	
1	3.829	0	0	
0	4.77869	1	1	
1	5.51544	0	0	
1	5.68849	0	0	
1	5.81657	0	0	
1	6.15489	0	0	
1	7.62186	0	0	
1	7.80473	0	0	
0	3.29047	1	1	
1	3.60115	0	0	
1	4.67889	0	0	
0	0.694346	1	1	
1	0.718547	0	0	
1	0.746558	0	0	
1	0.932847	0	0	
1	3.21692	0	0	
1	5.21108	0	0	
0	6.70483	1	0.836729	
1	7.03981	0	0	
0	8.86491	0.77341	0.741173	
1	9.00471	0	0	
0	13.1378	1	0.718883	
1	13.6202	0	0	
1	13.6423	0	0	
0	19.4535	0.67429	1	
0	4.60596	1	1	
1	6.00868	0	0	
1	7.20102	0	0	
0	5.25141	1	1	
1	5.52546	0	0	
1	5.75574	0	0	
1	6.87335	0	0	
1	7.2678	0	0	
0	1.08513	1	1	
1	1.4432	0	0	
1	2.80488	0	0	
1	2.96902	0	0	
1	5.69456	0	0	
0	1.90921	1	1	
1	2.24107	0	0	
1	2.42871	0	0	
